pk_trainers_id,fk_games_id,trainer,trainer_scenario
694,1,Tamer 3,Tamer 3
695,1,Tamer 4,Tamer 4
696,1,Tamer 5,Tamer 5
697,1,Youngster 1,Youngster 1
698,1,Youngster 2,Youngster 2
699,1,Youngster 3,Youngster 3
700,1,Youngster 4,Youngster 4
701,1,Youngster 5,Youngster 5
702,1,Youngster 6,Youngster 6
703,1,Youngster 7,Youngster 7
704,1,Youngster 8,Youngster 8
705,1,Youngster 9,Youngster 9
706,1,Youngster 10,Youngster 10
707,1,Youngster 11,Youngster 11
708,1,Youngster 12,Youngster 12
709,3,Agatha,Agatha
710,3,Beauty 1,Beauty 1
711,3,Beauty 2,Beauty 2
712,3,Beauty 3,Beauty 3
713,3,Beauty 4,Beauty 4
714,3,Beauty 5,Beauty 5
715,3,Beauty 6,Beauty 6
716,3,Beauty 7,Beauty 7
717,3,Beauty 8,Beauty 8
718,3,Beauty 9,Beauty 9
719,3,Beauty 10,Beauty 10
720,3,Beauty 11,Beauty 11
721,3,Beauty 12,Beauty 12
722,3,Beauty 13,Beauty 13
723,3,Beauty 14,Beauty 14
724,3,Biker 1,Biker 1
725,3,Biker 2,Biker 2
726,3,Biker 3,Biker 3
727,3,Biker 4,Biker 4
728,3,Biker 5,Biker 5
729,3,Biker 6,Biker 6
730,3,Biker 7,Biker 7
731,3,Biker 8,Biker 8
732,3,Biker 9,Biker 9
733,3,Biker 10,Biker 10
734,3,Biker 11,Biker 11
735,3,Biker 12,Biker 12
736,3,Biker 13,Biker 13
737,3,Biker 14,Biker 14
738,3,Biker 15,Biker 15
739,3,Bird Keeper 1,Bird Keeper 1
740,3,Bird Keeper 2,Bird Keeper 2
741,3,Bird Keeper 3,Bird Keeper 3
742,3,Bird Keeper 4,Bird Keeper 4
743,3,Bird Keeper 5,Bird Keeper 5
744,3,Bird Keeper 6,Bird Keeper 6
745,3,Bird Keeper 7,Bird Keeper 7
746,3,Bird Keeper 8,Bird Keeper 8
747,3,Bird Keeper 9,Bird Keeper 9
748,3,Bird Keeper 10,Bird Keeper 10
749,3,Bird Keeper 11,Bird Keeper 11
750,3,Bird Keeper 12,Bird Keeper 12
751,3,Bird Keeper 13,Bird Keeper 13
752,3,Bird Keeper 14,Bird Keeper 14
753,3,Bird Keeper 15,Bird Keeper 15
754,3,Blackbelt 1,Blackbelt 1
755,3,Blackbelt 2,Blackbelt 2
756,3,Blackbelt 3,Blackbelt 3
757,3,Blackbelt 4,Blackbelt 4
758,3,Blackbelt 5,Blackbelt 5
759,3,Blackbelt 6,Blackbelt 6
760,3,Blackbelt 7,Blackbelt 7
761,3,Blackbelt 8,Blackbelt 8
762,3,Blackbelt 9,Blackbelt 9
763,3,Blaine,Blaine
764,3,Brock,Brock
765,3,Bruno,Bruno
766,3,Bug Catcher 1,Bug Catcher 1
767,3,Bug Catcher 2,Bug Catcher 2
768,3,Bug Catcher 3,Bug Catcher 3
769,3,Bug Catcher 4,Bug Catcher 4
770,3,Bug Catcher 5,Bug Catcher 5
771,3,Bug Catcher 6,Bug Catcher 6
772,3,Bug Catcher 7,Bug Catcher 7
773,3,Bug Catcher 8,Bug Catcher 8
774,3,Bug Catcher 9,Bug Catcher 9
775,3,Bug Catcher 10,Bug Catcher 10
776,3,Bug Catcher 11,Bug Catcher 11
777,3,Bug Catcher 12,Bug Catcher 12
778,3,Bug Catcher 13,Bug Catcher 13
779,3,Bug Catcher 14,Bug Catcher 14
780,3,Burglar 1,Burglar 1
781,3,Burglar 2,Burglar 2
782,3,Burglar 3,Burglar 3
783,3,Burglar 4,Burglar 4
784,3,Burglar 5,Burglar 5
785,3,Burglar 6,Burglar 6
786,3,Channeler 1,Channeler 1
787,3,Channeler 2,Channeler 2
788,3,Channeler 3,Channeler 3
789,3,Channeler 4,Channeler 4
790,3,Channeler 5,Channeler 5
791,3,Channeler 6,Channeler 6
792,3,Channeler 7,Channeler 7
793,3,Channeler 8,Channeler 8
794,3,Channeler 9,Channeler 9
795,3,Channeler 10,Channeler 10
796,3,Channeler 11,Channeler 11
797,3,Channeler 12,Channeler 12
798,3,Channeler 13,Channeler 13
799,3,Channeler 14,Channeler 14
800,3,Channeler 15,Channeler 15
801,3,Channeler 16,Channeler 16
802,3,Cooltrainer F 1,Cooltrainer F 1
803,3,Cooltrainer F 2,Cooltrainer F 2
804,3,Cooltrainer F 3,Cooltrainer F 3
805,3,Cooltrainer F 4,Cooltrainer F 4
806,3,Cooltrainer M 1,Cooltrainer M 1
807,3,Cooltrainer M 2,Cooltrainer M 2
808,3,Cooltrainer M 3,Cooltrainer M 3
809,3,Cooltrainer M 4,Cooltrainer M 4
810,3,Cooltrainer M 5,Cooltrainer M 5
811,3,Cooltrainer M 6,Cooltrainer M 6
812,3,Cue Ball 1,Cue Ball 1
813,3,Cue Ball 2,Cue Ball 2
814,3,Cue Ball 3,Cue Ball 3
815,3,Cue Ball 4,Cue Ball 4
816,3,Cue Ball 5,Cue Ball 5
817,3,Cue Ball 6,Cue Ball 6
818,3,Cue Ball 7,Cue Ball 7
819,3,Cue Ball 8,Cue Ball 8
820,3,Cue Ball 9,Cue Ball 9
821,3,Engineer 1,Engineer 1
822,3,Engineer 2,Engineer 2
823,3,Erika,Erika
824,3,Fisherman 1,Fisherman 1
825,3,Fisherman 2,Fisherman 2
826,3,Fisherman 3,Fisherman 3
827,3,Fisherman 4,Fisherman 4
828,3,Fisherman 5,Fisherman 5
829,3,Fisherman 6,Fisherman 6
830,3,Fisherman 7,Fisherman 7
831,3,Fisherman 8,Fisherman 8
832,3,Fisherman 9,Fisherman 9
833,3,Fisherman 10,Fisherman 10
834,3,Fisherman 11,Fisherman 11
835,3,Gambler 1,Gambler 1
836,3,Gambler 2,Gambler 2
837,3,Gambler 3,Gambler 3
838,3,Gambler 4,Gambler 4
839,3,Gambler 5,Gambler 5
840,3,Gambler 6,Gambler 6
841,3,Gentleman 1,Gentleman 1
842,3,Gentleman 2,Gentleman 2
843,3,Gentleman 3,Gentleman 3
844,3,Gentleman 4,Gentleman 4
845,3,Gentleman 5,Gentleman 5
846,3,Giovanni 1,Giovanni 1
847,3,Giovanni 2,Giovanni 2
848,3,Giovanni 3,Giovanni 3
849,3,Hiker 1,Hiker 1
850,3,Hiker 2,Hiker 2
851,3,Hiker 3,Hiker 3
852,3,Hiker 4,Hiker 4
853,3,Hiker 5,Hiker 5
854,3,Hiker 6,Hiker 6
855,3,Hiker 7,Hiker 7
856,3,Hiker 8,Hiker 8
857,3,Hiker 10,Hiker 10
858,3,Hiker 11,Hiker 11
859,3,Hiker 12,Hiker 12
860,3,Hiker 13,Hiker 13
861,3,Hiker 14,Hiker 14
862,3,Hiker 15,Hiker 15
863,3,Hikey 9,Hikey 9
864,3,Jessie & James 1,Jessie & James 1
865,3,Jessie & James 2,Jessie & James 2
866,3,Jessie & James 3,Jessie & James 3
867,3,Jessie & James 4,Jessie & James 4
868,3,Jr Trainer F 1,Jr Trainer F 1
869,3,Jr Trainer F 2,Jr Trainer F 2
870,3,Jr Trainer F 3,Jr Trainer F 3
871,3,Jr Trainer F 4,Jr Trainer F 4
872,3,Jr Trainer F 5,Jr Trainer F 5
873,3,Jr Trainer F 6,Jr Trainer F 6
874,3,Jr Trainer F 7,Jr Trainer F 7
875,3,Jr Trainer F 8,Jr Trainer F 8
876,3,Jr Trainer F 9,Jr Trainer F 9
877,3,Jr Trainer F 10,Jr Trainer F 10
878,3,Jr Trainer F 11,Jr Trainer F 11
879,3,Jr Trainer F 12,Jr Trainer F 12
880,3,Jr Trainer F 13,Jr Trainer F 13
881,3,Jr Trainer F 14,Jr Trainer F 14
882,3,Jr Trainer F 15,Jr Trainer F 15
883,3,Jr Trainer F 16,Jr Trainer F 16
884,3,Jr Trainer F 17,Jr Trainer F 17
885,3,Jr Trainer F 18,Jr Trainer F 18
886,3,Jr Trainer F 19,Jr Trainer F 19
887,3,Jr Trainer F 20,Jr Trainer F 20
888,3,Jr Trainer F 21,Jr Trainer F 21
889,3,Jr Trainer F 22,Jr Trainer F 22
890,3,Jr Trainer M 1,Jr Trainer M 1
891,3,Jr Trainer M 2,Jr Trainer M 2
892,3,Jr Trainer M 3,Jr Trainer M 3
893,3,Jr Trainer M 4,Jr Trainer M 4
894,3,Jr Trainer M 5,Jr Trainer M 5
895,3,Jr Trainer M 6,Jr Trainer M 6
896,3,Jr Trainer M 7,Jr Trainer M 7
897,3,Jr Trainer M 8,Jr Trainer M 8
898,3,Jr Trainer M 9,Jr Trainer M 9
899,3,Juggler 1,Juggler 1
900,3,Juggler 2,Juggler 2
901,3,Juggler 3,Juggler 3
902,3,Juggler 4,Juggler 4
903,3,Juggler 5,Juggler 5
904,3,Juggler 6,Juggler 6
905,3,Juggler 7,Juggler 7
906,3,Koga,Koga
907,3,Lance,Lance
908,3,Lass 1,Lass 1
909,3,Lass 2,Lass 2
910,3,Lass 3,Lass 3
911,3,Lass 4,Lass 4
912,3,Lass 5,Lass 5
913,3,Lass 6,Lass 6
914,3,Lass 7,Lass 7
915,3,Lass 8,Lass 8
916,3,Lass 9,Lass 9
917,3,Lass 10,Lass 10
918,3,Lass 11,Lass 11
919,3,Lass 12,Lass 12
920,3,Lass 13,Lass 13
921,3,Lass 14,Lass 14
922,3,Lass 15,Lass 15
923,3,Lass 16,Lass 16
924,3,Lass 17,Lass 17
925,3,Lass 18,Lass 18
926,3,Lorelei,Lorelei
927,3,Lt. Surge,Lt. Surge
928,3,Misty,Misty
929,3,PokeManiac 1,PokeManiac 1
930,3,PokeManiac 2,PokeManiac 2
931,3,PokeManiac 3,PokeManiac 3
932,3,PokeManiac 4,PokeManiac 4
933,3,PokeManiac 5,PokeManiac 5
934,3,PokeManiac 7,PokeManiac 7
935,3,Pokemaniac 6,Pokemaniac 6
936,3,Psychic 1,Psychic 1
937,3,Psychic 2,Psychic 2
938,3,Psychic 3,Psychic 3
939,3,Psychic 4,Psychic 4
940,3,Rival 1,Rival 1
941,3,Rival 2,Rival 2
942,3,Rival 3,Rival 3
943,3,Rival 4,Rival 4
944,3,Rival 5,Rival 5 - Won Lab Or R22
947,3,Rival 6,Rival 6 - Won Lab Or R22
951,3,Rival 7,Rival 7 - Won Lab Or R22
954,3,Rival 8,Rival 8 - Won Lab Or R22
956,3,Rocker 1,Rocker 1
957,3,Rocker 2,Rocker 2
958,3,Rocket 1,Rocket 1
959,3,Rocket 2,Rocket 2
960,3,Rocket 3,Rocket 3
961,3,Rocket 4,Rocket 4
962,3,Rocket 5,Rocket 5
963,3,Rocket 6,Rocket 6
964,3,Rocket 7,Rocket 7
965,3,Rocket 8,Rocket 8
966,3,Rocket 9,Rocket 9
967,3,Rocket 10,Rocket 10
968,3,Rocket 11,Rocket 11
969,3,Rocket 12,Rocket 12
970,3,Rocket 13,Rocket 13
971,3,Rocket 14,Rocket 14
972,3,Rocket 15,Rocket 15
973,3,Rocket 16,Rocket 16
974,3,Rocket 17,Rocket 17
975,3,Rocket 18,Rocket 18
976,3,Rocket 19,Rocket 19
977,3,Rocket 20,Rocket 20
978,3,Rocket 21,Rocket 21
979,3,Rocket 22,Rocket 22
980,3,Rocket 23,Rocket 23
981,3,Rocket 24,Rocket 24
982,3,Rocket 25,Rocket 25
983,3,Rocket 26,Rocket 26
984,3,Rocket 27,Rocket 27
985,3,Rocket 28,Rocket 28
986,3,Sabrina,Sabrina
987,3,Sailor 1,Sailor 1
988,3,Sailor 2,Sailor 2
989,3,Sailor 3,Sailor 3
990,3,Sailor 4,Sailor 4
991,3,Sailor 5,Sailor 5
992,3,Sailor 6,Sailor 6
993,3,Sailor 7,Sailor 7
994,3,Sailor 8,Sailor 8
995,3,Scientist 1,Scientist 1
996,3,Scientist 2,Scientist 2
997,3,Scientist 3,Scientist 3
998,3,Scientist 4,Scientist 4
999,3,Scientist 5,Scientist 5
1000,3,Scientist 6,Scientist 6
1001,3,Scientist 7,Scientist 7
1002,3,Scientist 8,Scientist 8
1003,3,Scientist 9,Scientist 9
1004,3,Scientist 10,Scientist 10
1005,3,Scientist 11,Scientist 11
1006,3,Scientist 12,Scientist 12
1007,3,Scientist 13,Scientist 13
1008,3,Scientist 14,Scientist 14
1009,3,Scientist 15,Scientist 15
1010,3,Super Nerd 1,Super Nerd 1
1011,3,Super Nerd 2,Super Nerd 2
1012,3,Super Nerd 3,Super Nerd 3
1013,3,Super Nerd 4,Super Nerd 4
1014,3,Super Nerd 5,Super Nerd 5
1015,3,Super Nerd 6,Super Nerd 6
1016,3,Super Nerd 7,Super Nerd 7
1017,3,Super Nerd 8,Super Nerd 8
1018,3,Super Nerd 9,Super Nerd 9
1019,3,Swimmer 1,Swimmer 1
1020,3,Swimmer 2,Swimmer 2
1021,3,Swimmer 3,Swimmer 3
1022,3,Swimmer 4,Swimmer 4
1023,3,Swimmer 5,Swimmer 5
1024,3,Swimmer 6,Swimmer 6
1025,3,Swimmer 7,Swimmer 7
1026,3,Swimmer 8,Swimmer 8
1027,3,Swimmer 9,Swimmer 9
1028,3,Swimmer 10,Swimmer 10
1029,3,Swimmer 11,Swimmer 11
1030,3,Swimmer 12,Swimmer 12
1031,3,Swimmer 13,Swimmer 13
1032,3,Swimmer 14,Swimmer 14
1033,3,Swimmer 15,Swimmer 15
1034,3,Tamer 1,Tamer 1
1035,3,Tamer 2,Tamer 2
1036,3,Tamer 3,Tamer 3
1037,3,Tamer 4,Tamer 4
1038,3,Tamer 5,Tamer 5
1039,3,Youngster 1,Youngster 1
1040,3,Youngster 2,Youngster 2
1041,3,Youngster 3,Youngster 3
1042,3,Youngster 4,Youngster 4
1043,3,Youngster 5,Youngster 5
1044,3,Youngster 6,Youngster 6
1045,3,Youngster 7,Youngster 7
1046,3,Youngster 8,Youngster 8
1047,3,Youngster 9,Youngster 9
1048,3,Youngster 10,Youngster 10
1049,3,Youngster 11,Youngster 11
1050,3,Youngster 12,Youngster 12
1051,3,Youngster 13,Youngster 13
945,3,Rival 5,Rival 5 - Won Lab And R22
946,3,Rival 5,Rival 5 - Lost Lab And R22
949,3,Rival 6,Rival 6 - Lost Lab And R22
950,3,Rival 7,Rival 7 - Lost Lab And R22
955,3,Rival 8,Rival 8 - Lost Lab And R22
953,3,Rival 8,Rival 8 - Won Lab And R22
952,3,Rival 7,Rival 7 - Won Lab And R22
948,3,Rival 6,Rival 6 - Won Lab And R22
